,Unnamed: 0,county,state_name,state_abbrev,zipcode
514,21,Apache,Arizona,AZ,86545
515,21,Apache,Arizona,AZ,86547
516,21,Apache,Arizona,AZ,86556
517,22,Cochise,Arizona,AZ,85602
518,22,Cochise,Arizona,AZ,85603
519,22,Cochise,Arizona,AZ,85605
520,22,Cochise,Arizona,AZ,85606
521,22,Cochise,Arizona,AZ,85607
522,22,Cochise,Arizona,AZ,85608
523,22,Cochise,Arizona,AZ,85609
524,22,Cochise,Arizona,AZ,85610
525,22,Cochise,Arizona,AZ,85613
526,22,Cochise,Arizona,AZ,85615
527,22,Cochise,Arizona,AZ,85616
528,22,Cochise,Arizona,AZ,85617
529,22,Cochise,Arizona,AZ,85620
530,22,Cochise,Arizona,AZ,85625
531,22,Cochise,Arizona,AZ,85626
532,22,Cochise,Arizona,AZ,85627
533,22,Cochise,Arizona,AZ,85630
534,22,Cochise,Arizona,AZ,85632
535,22,Cochise,Arizona,AZ,85635
536,22,Cochise,Arizona,AZ,85636
537,22,Cochise,Arizona,AZ,85638
538,22,Cochise,Arizona,AZ,85643
539,22,Cochise,Arizona,AZ,85644
540,22,Cochise,Arizona,AZ,85650
541,22,Cochise,Arizona,AZ,85655
542,22,Cochise,Arizona,AZ,85670
543,22,Cochise,Arizona,AZ,85671
544,22,Cochise,Arizona,AZ,86555
545,23,Coconino,Arizona,AZ,85931
546,23,Coconino,Arizona,AZ,86001
547,23,Coconino,Arizona,AZ,86002
548,23,Coconino,Arizona,AZ,86003
549,23,Coconino,Arizona,AZ,86004
550,23,Coconino,Arizona,AZ,86011
551,23,Coconino,Arizona,AZ,86015
552,23,Coconino,Arizona,AZ,86016
553,23,Coconino,Arizona,AZ,86017
554,23,Coconino,Arizona,AZ,86018
555,23,Coconino,Arizona,AZ,86020
556,23,Coconino,Arizona,AZ,86022
557,23,Coconino,Arizona,AZ,86023
558,23,Coconino,Arizona,AZ,86024
559,23,Coconino,Arizona,AZ,86035
560,23,Coconino,Arizona,AZ,86036
561,23,Coconino,Arizona,AZ,86038
562,23,Coconino,Arizona,AZ,86040
563,23,Coconino,Arizona,AZ,86044
564,23,Coconino,Arizona,AZ,86045
565,23,Coconino,Arizona,AZ,86046
566,23,Coconino,Arizona,AZ,86052
567,23,Coconino,Arizona,AZ,86053
568,23,Coconino,Arizona,AZ,86435
569,24,Maricopa,Arizona,AZ,85001
570,24,Maricopa,Arizona,AZ,85002
571,24,Maricopa,Arizona,AZ,85003
572,24,Maricopa,Arizona,AZ,85004
573,24,Maricopa,Arizona,AZ,85005
574,24,Maricopa,Arizona,AZ,85006
575,24,Maricopa,Arizona,AZ,85007
576,24,Maricopa,Arizona,AZ,85008
577,24,Maricopa,Arizona,AZ,85009
578,24,Maricopa,Arizona,AZ,85010
579,24,Maricopa,Arizona,AZ,85011
580,24,Maricopa,Arizona,AZ,85012
581,24,Maricopa,Arizona,AZ,85013
582,24,Maricopa,Arizona,AZ,85014
583,24,Maricopa,Arizona,AZ,85015
584,24,Maricopa,Arizona,AZ,85016
585,24,Maricopa,Arizona,AZ,85017
586,24,Maricopa,Arizona,AZ,85018
587,24,Maricopa,Arizona,AZ,85019
588,24,Maricopa,Arizona,AZ,85020
589,24,Maricopa,Arizona,AZ,85021
590,24,Maricopa,Arizona,AZ,85022
591,24,Maricopa,Arizona,AZ,85023
592,24,Maricopa,Arizona,AZ,85024
593,24,Maricopa,Arizona,AZ,85025
