NAME,median age male,median age female,total travel time to work,travel time to work: less than 5 minutes,travel time to work: 5 to 9 minutes,travel time to work: 10 to 14 minutes,travel time to work: 15 to 19 minutes,travel time to work: 20 to 24 minutes,travel time to work: 25 to 29 minutes,travel time to work: 30 to 34 minutes,travel time to work: 35 to 39 minutes,travel time to work: 40 to 44 minutes,travel time to work: 45 to 59 minutes,travel time to work: 60 to 89 minutes,travel time to work: 90 or more minutes,own children under 18 years by family type and age,total household type,household type: married-couple family,"household type: male householder, no wife present","household type: female householder, no husband present",household type: householder living alone,household type: householder not living alone,total male over 15years,male never married,male now married,male widowed,male divorced,total female over 15 years,female never married,female now married,female widowed,female divorced,women who had a birth in the past 12 months,male no schooling completed,male high school graduate (includes equivalency),male bachelor's degree,male master's degree,male doctorate degree,female no schooling completed,female high school graduate (includes equivalency),female bachelor's degree,female master's degree,female doctorate degree,total income in the past 12 months,total income in the past 12 months at or above poverty level,total income in the past 12 months below poverty level,median household income in the past 12 months (in 2018 inflation-adjusted dollars),total household in the past 12 months with/without public assist or stamps,household with cash public assistance or food stamps/snap in the past year,gini index,per capita income in the past 12 months (in 2018 inflation-adjusted dollars),mean usual hours worked male,mean usual hours worked female,total employment status 16 and over,employed population 16 years and over,housing units,housing tenure owner occupied,housing tenure renter occupied,median number of rooms,median contract rent,median monthly housing costs,no household computer,no household internet access,state_name,county
"Riverside County, California",34.9,36.8,1000999,17372,69412,125886,127406,135323,51320,133117,22010,39057,88545,119910,71641,511853,728103,389969,43502,90723,166050,37859,961399,382175,488661,19852,70711,980615,319282,481794,75974,103565,28458,18691,236679,109687,41611,8190,21582,231521,116269,52216,7102,2411413,2104961,306452,66964,728103,66872,0.4687,28961,39.9,35.5,1907979,1069565,848646,496576,231527,5.4,1207,1478,40415,63861,California,RIVERSIDE
"Sacramento County, California",35.2,37.7,664958,9007,42686,74323,99080,106334,54801,116310,22834,26760,57436,32455,22932,315039,543560,251752,30092,77422,141664,42630,598117,234811,295188,14234,53884,639449,201929,302522,50729,84269,17747,11235,113067,103913,32255,6854,16947,116870,113975,41669,5545,1522720,1305308,217412,69767,543560,62433,0.4492,32748,39.3,35.9,1215153,723076,574471,311219,232341,5.4,1152,1403,25260,41970,California,SACRAMENTO
"San Bernardino County, California",32.6,34.7,887779,17947,70790,105497,126792,128934,48662,114426,22103,36237,73345,85942,57104,455661,638647,337606,46742,102566,118880,32853,837904,332883,423263,17495,64263,858538,287781,411737,68023,90997,31118,14876,187923,88282,33009,5972,16970,179123,103192,41938,4065,2121692,1806336,315356,63857,638647,86299,0.4394,25486,40.4,35.5,1662442,946515,725921,386204,252443,5.3,1130,1350,33710,61481,California,SAN BERNARDINO
"San Diego County, California",34.8,37.5,1540361,19489,100855,195018,254032,262331,109465,252802,46249,66620,119944,80452,33104,634246,1130911,561723,63092,136432,267928,101736,1372550,562134,671744,27357,111315,1364875,436729,659862,96751,171533,43048,19001,218459,254254,110769,27757,27219,202198,272050,119993,21503,3259203,2888044,371159,79079,1130911,95693,0.4631,37841,41.2,35.9,2695957,1606430,1224390,600545,530366,4.9,1578,1785,44056,68827,California,SAN DIEGO
"San Francisco County, California",38,38.6,491725,6290,13778,37963,52375,66483,36572,102802,19993,28364,56578,54473,16054,105369,362827,137539,14612,26492,125466,58718,398792,195945,169416,7543,25888,383077,161119,160598,27170,34190,8087,6558,45458,131819,55447,11039,10237,40392,121775,56602,8516,869727,782640,87087,112376,362827,21760,0.5227,71606,42,38.9,776750,536653,401478,136242,226585,4.1,1822,2054,22291,31915,California,SAN FRANCISCO
"San Joaquin County, California",33.4,35.5,305061,6174,27854,35469,45861,34792,12873,30350,5748,9510,21560,36419,38451,173132,231917,118379,17477,38636,45527,11898,287856,113782,143799,7137,23138,295221,94148,141136,27114,32823,10123,10406,74954,25373,7656,1610,8843,71418,33593,9648,1620,735733,631111,104622,64119,231917,37645,0.4483,27217,40.8,36.4,571146,326352,245561,126478,105439,5.4,1034,1335,14239,28005,California,SAN JOAQUIN
"San Luis Obispo County, California",38.1,41,117766,3798,17575,21972,20952,18203,6248,10453,2958,2826,7527,2116,3138,42673,106198,52101,5859,9324,28640,10274,122617,48676,59768,2966,11207,120475,38676,58455,9243,14101,1853,1603,20840,20438,6687,1644,1380,16865,20988,9828,1029,267624,232443,35181,71148,106198,5570,0.4582,36924,39.2,33.3,240351,128406,122971,65080,41118,5.2,1291,1573,6324,9715,California,SAN LUIS OBISPO
"San Mateo County, California",38.7,41.2,385595,3230,19527,43668,58212,54469,21504,62349,13111,23069,45266,33010,8180,141826,259654,145947,11047,25204,56594,20862,313181,112325,174039,6673,20144,323750,96011,170310,25112,32317,9081,4444,39910,80041,37957,14239,5195,40136,88006,41262,9180,764657,712794,51863,124425,259654,10075,0.4846,62017,40.6,37.2,628294,418073,279468,157142,102512,5,2320,2507,9190,15571,California,SAN MATEO
"Santa Barbara County, California",33.1,35.1,191519,6912,31014,39156,33567,25805,7588,17710,4006,4077,9221,7791,4672,83441,146224,74329,9880,16288,32420,13307,180953,78013,85365,4175,13400,182081,65504,85352,12524,18701,5730,4254,27107,25142,12537,4554,2254,25120,30426,13642,2993,426201,372740,53461,77472,146224,13949,0.4881,37172,39.9,33.2,358433,210598,158315,76604,69620,5,1562,1690,7850,10407,California,SANTA BARBARA
"Santa Clara County, California",36.1,38.3,942148,9857,44849,100129,135458,149556,60395,171114,25506,49914,94306,73719,27345,375931,645108,368382,30691,62726,130039,53270,801355,298889,445304,13173,43989,783053,239316,422594,54213,66930,24009,12421,93060,188360,138741,34917,15959,91626,194872,115272,15767,1907047,1769275,137772,126606,645108,31958,0.4751,58588,40.7,36.6,1560706,1014217,678530,358369,286739,5,2225,2423,21562,29525,California,SANTA CLARA
"Santa Cruz County, California",37.3,38.6,121985,3444,14815,19814,15359,15053,6774,13173,2097,3809,10825,13159,3663,44277,94994,48045,4466,9886,22226,10371,112846,47079,54235,997,10535,118488,42754,54301,8158,13275,3539,2610,16246,18425,9249,2863,2291,11260,23646,10830,1844,261414,229317,32097,86941,94994,9767,0.4797,42131,39.2,34,227759,135393,106718,57087,37907,4.9,1610,1894,5616,7005,California,SANTA CRUZ
"Shasta County, California",39.6,43.8,64393,2458,8774,14252,15981,9275,2151,2964,1271,615,1552,2316,2784,30417,68198,32610,4402,8970,17809,4407,72003,21050,38264,3639,9050,75915,19098,36930,9006,10881,1991,467,15260,8163,1968,523,497,14254,9415,4392,539,176694,150047,26647,56280,68198,9269,0.4394,28144,40.6,34.5,145037,69649,79187,44402,23796,5.2,823,1110,5055,7406,California,SHASTA
"Solano County, California",37.1,40,203509,3854,16990,25918,28724,19513,8626,23173,6148,7510,21357,23056,18640,83958,152291,79000,10225,19362,33767,9937,179775,66654,92242,5017,15862,184320,52433,93913,14788,23186,5953,2700,38453,24707,7937,1143,2933,33761,33209,11919,1828,435952,404011,31941,84395,152291,12884,0.4011,35820,40.2,36.6,357799,216357,158815,95857,56434,5.6,1509,1755,6762,8318,California,SOLANO
"Sonoma County, California",40.4,44.1,235466,6896,27466,38888,40912,31525,13679,25422,7945,5981,14011,13700,9041,84716,187434,89736,10250,18036,49557,19855,203217,73370,101235,5926,22686,215909,63301,102897,16731,32980,4578,3254,34607,37565,13456,3037,2971,31164,41724,19127,3493,493293,443448,49845,81395,187434,11010,0.4589,41985,39.4,34.9,413471,259984,205247,115244,72190,5.1,1528,1736,7714,10264,California,SONOMA
"Stanislaus County, California",33.3,35.7,208425,5817,20822,27684,35546,27883,8265,24915,4904,7738,13841,12689,18321,128231,175171,88381,12471,27409,36616,10294,209038,76998,105966,6305,19769,216964,67144,102804,18067,28949,5594,5511,57043,18414,4664,1745,5487,50917,21507,6488,701,546057,460984,85073,60321,175171,25690,0.4438,26191,41.4,35.3,418513,229483,182305,103691,71480,5.4,983,1213,12302,20243,California,STANISLAUS
"Sutter County, California",34.8,36.8,37547,1302,5478,7718,4864,3474,1643,2159,1028,764,3821,3426,1870,21311,31989,16244,3061,4122,6541,2021,37222,13193,19512,1202,3315,38661,9790,19823,3364,5684,1499,1337,7435,4317,1032,64,1611,7299,3885,1817,257,95346,82899,12447,59121,31989,3682,0.4628,27657,42.9,36.4,74492,40133,34475,19159,12830,5.5,842,1109,2798,3858,California,SUTTER
"Tulare County, California",30.4,32.3,169164,5919,23402,31035,28332,19971,9603,21335,3793,4335,10056,7618,3765,122834,139197,72127,10923,20140,29784,6223,172278,68667,86221,3881,13509,174161,57238,87304,12079,17540,6243,4257,37200,12552,5692,455,4257,32994,15293,5606,694,460709,356998,103711,48817,139197,32245,0.5055,22606,41,35.5,339624,182312,150217,81862,57335,5.2,740,1005,16525,25627,California,TULARE
"Ventura County, California",37,39.6,388503,7800,33103,50218,48917,46039,70229,48439,9062,16176,26687,18189,13644,159791,271980,149021,14709,30576,60853,16821,339147,131613,172865,8733,25936,351287,112296,173551,26737,38703,9744,5413,59818,55876,23079,4635,5324,56991,61421,26114,3230,838307,763775,74532,84566,271980,22170,0.4458,36791,40.2,35.7,679810,419074,290984,169964,102016,5.6,1657,1881,17167,23841,California,VENTURA
"Yolo County, California",30.9,31.2,89974,3498,9738,20364,12948,11914,5420,8845,2195,2880,6075,3833,2264,42806,74428,35208,3480,7749,17291,10700,87927,40184,40008,2501,5234,93950,39501,41018,4469,8962,1953,620,11963,12129,6747,3942,880,11430,14356,8163,2462,212296,166432,45864,68670,74428,8799,0.49,32604,38.7,32.1,178782,98657,78527,36107,38321,5.1,1185,1446,3694,5231,California,YOLO
"Yuba County, California",32.7,35.3,29500,1238,3359,2349,4845,3460,1188,2542,1527,1998,4329,1832,833,18060,26191,12483,1723,3683,6750,1552,30364,12113,13986,1425,2840,30003,8460,14700,2872,3971,1723,961,5877,2442,899,239,356,4122,2841,971,138,76394,62945,13449,46574,26191,3968,0.4131,22994,41.1,35,59048,30058,28688,15679,10512,5.3,767,1025,3445,5238,California,YUBA
"Adams County, Colorado",33.5,34.5,257966,3209,12548,23095,33039,36004,17712,48961,14154,13625,33375,17162,5082,119064,168361,85220,11360,21535,38682,11564,200646,75832,99943,4813,20058,197821,59187,100460,12413,25761,7592,4240,50218,28113,10229,1651,3670,45428,27917,15212,609,507674,462925,44749,70743,168361,13195,0.4161,31072,41.6,36.9,392240,274062,175623,109135,59226,5.6,1247,1409,9456,17169,Colorado,ADAMS
"Arapahoe County, Colorado",35.6,38.2,320554,4797,18384,32483,45149,53749,26379,52557,12966,14429,34035,17047,8579,136703,242141,120445,11329,26344,66587,17436,258187,94142,135922,4690,23433,266728,76880,137200,17421,35227,10270,3115,48877,57281,25001,3648,2504,48224,62858,26111,2489,645350,592958,52392,76768,242141,16826,0.4584,39919,41.7,36.8,516120,353686,254250,152482,89659,5.8,1275,1461,10015,16008,Colorado,ARAPAHOE
"Boulder County, Colorado",35.2,38,153820,2640,18837,27873,26106,21726,11180,14831,4123,4536,11334,8652,1982,58464,128295,60449,4710,9610,36761,16765,138318,57176,65757,2537,12848,137200,47281,66306,7711,15902,2761,865,11595,36450,18997,6735,420,11992,38496,22283,3676,313578,282587,30991,83755,128295,6697,0.4779,45923,39.9,33.7,271260,178279,137465,80352,47943,5.8,1418,1535,4874,7493,Colorado,BOULDER
"Broomfield County, Colorado",36.7,38.6,35164,445,3502,3603,5042,4308,1570,6415,1383,2067,4882,1669,278,15174,28530,15510,733,2313,7349,2625,28334,9182,15862,532,2758,28392,7393,16390,1457,3152,407,76,2806,8995,4633,318,53,4480,8804,3617,253,68937,64257,4680,95800,28530,663,0.4262,49976,42.6,36.8,55648,39905,28935,18496,10034,6.1,1516,1674,564,1335,Colorado,BROOMFIELD
"Denver County, Colorado",34.4,34.8,375869,5436,23098,44252,64940,62323,30008,71097,14056,15243,28595,12673,4148,123590,310324,108060,10544,26497,123572,41651,297605,136596,123872,5018,32119,299304,117319,123438,13950,44597,10907,2776,41412,81547,30561,4914,3727,37306,80556,40193,5612,704493,624634,79859,68377,310324,26877,0.492,44556,41.7,38.1,590285,418381,330884,152878,157446,4.6,1237,1388,15406,24385,Colorado,DENVER
"Douglas County, Colorado",38,39.8,160553,3307,11662,19730,21933,21868,12270,23170,6258,7731,18895,10612,3117,84584,125035,82851,4741,8352,23830,5261,134497,34780,89031,1460,9226,137092,29415,85787,6351,15539,3385,594,11810,43658,18987,2321,602,15169,43918,16183,1759,341204,333114,8090,119615,125035,2370,0.3947,53900,42.6,36.3,266177,188254,128744,98079,26956,7.6,1603,1975,2178,3022,Colorado,DOUGLAS
"El Paso County, Colorado",33,36.1,334627,6759,31570,50470,64009,62179,28292,41516,7020,8351,14997,11396,8068,157356,260851,136825,12923,26293,66962,17848,287261,101927,150469,5513,29352,282626,74075,152562,17818,38171,7947,1265,47633,52817,27140,4737,2232,43018,54920,28812,2449,694772,626277,68495,68119,260851,22770,0.4374,33536,42.2,35.6,560356,338552,275393,171191,89660,6.2,1065,1249,13070,15455,Colorado,EL PASO
"Jefferson County, Colorado",39,41.3,288689,5265,19454,29415,41246,41698,18077,46280,14473,15222,35627,17436,4496,104548,233272,116418,11821,20019,63962,21052,240382,79464,127927,5786,27205,245366,66815,128521,19216,30814,5524,1305,41526,58856,24140,3599,1718,40883,62241,29568,3675,570424,531331,39093,85890,233272,11784,0.4222,43551,40.7,36.6,478957,323307,243016,162226,71046,6.2,1288,1473,13308,16204,Colorado,JEFFERSON
"Larimer County, Colorado",35.1,37.8,165061,3684,22718,29621,26314,24886,8881,18292,3795,5170,9860,8907,2933,63880,139382,70714,5525,9462,32380,21301,145798,55693,74377,2523,13205,147915,46441,75531,8871,17072,4943,1330,19769,28672,14313,4768,552,18616,37134,16204,3629,340970,303679,37291,71091,139382,8559,0.4396,37073,41.6,35.2,288748,186123,151840,87798,51584,5.8,1254,1363,5581,8867,Colorado,LARIMER
"Mesa County, Colorado",40.1,42.1,62507,1492,8815,13699,11729,11101,3467,5006,212,321,3475,1628,1562,29807,61848,26056,2595,8659,19258,5280,60700,20168,30038,2611,7883,64491,16719,28188,8302,11282,1619,408,14821,8728,3282,793,293,13267,11474,4082,629,150185,125316,24869,49848,61848,7486,0.4523,28679,43.4,35.2,123093,69660,67215,42377,19471,5.5,762,922,4853,7228,Colorado,MESA
"Pueblo County, Colorado",38,40.3,67738,1205,10026,12510,13659,10526,3303,6008,803,2051,2977,2728,1942,29529,64954,28078,3883,9642,20051,3300,66422,25331,30344,2991,7756,70869,19738,32394,6740,11997,2749,289,17925,7117,2101,264,746,14918,9420,4275,689,163507,135168,28339,48468,64954,12355,0.4509,24443,38.6,36,134639,70473,71451,42410,22544,5.5,642,836,7038,11825,Colorado,PUEBLO
"Weld County, Colorado",34.2,35.1,148496,3362,13772,18610,21970,18671,8283,21965,4376,5817,15812,12097,3761,72678,107929,60761,4590,12579,22631,7368,122024,37280,70959,2361,11424,122775,32531,68461,8511,13272,4428,1743,29918,18249,5392,725,1211,27170,20199,7645,791,306619,273362,33257,75938,107929,9211,0.4045,32003,43.2,35.6,240422,159677,112472,79628,28301,6.1,949,1284,5178,8485,Colorado,WELD
"Fairfield County, Connecticut",39.2,42.2,443166,9860,34086,62781,66557,60786,21387,50414,9424,14862,38964,43234,30811,195332,345634,182303,14902,40202,90401,17826,371918,130284,205841,6832,28961,399442,122014,199868,33311,44249,11715,4196,68557,79117,45994,5280,4392,64479,93937,58364,4326,926707,832403,94304,91079,345634,30399,0.546,56135,41.5,35.5,758754,480867,374480,227097,118537,5.9,1238,1867,20413,25237,Connecticut,FAIRFIELD
"Hartford County, Connecticut",38.3,42.1,423111,8391,36192,64116,77211,73246,33209,57765,14009,14062,22130,16122,6658,173004,348049,156334,17779,49476,105440,19020,356510,139395,174381,9629,33105,383473,126157,174827,33561,48928,8855,4477,81199,63839,33005,5017,3486,85754,71792,45354,4259,873964,776736,97228,73151,348049,49214,0.4874,40806,41,35.7,730504,454221,380441,226364,121685,5.6,920,1321,27866,39852,Connecticut,HARTFORD
"Litchfield County, Connecticut",46.7,48.4,89457,3239,7692,10521,10659,12364,7566,10249,2957,3888,9188,7127,4007,30086,73598,37003,3294,6550,22394,4357,75973,24892,39749,2805,8527,78924,20472,39888,7738,10826,1128,301,22210,12395,5228,620,221,20102,13284,8729,675,178648,166514,12134,76043,73598,5889,0.4639,43008,42.1,36.1,152876,96288,88402,57188,16410,6.1,858,1258,6078,8226,Connecticut,LITCHFIELD
"Middlesex County, Connecticut",43.6,47.3,82664,1855,8946,10467,9803,11101,7184,10817,4461,4824,8222,3563,1421,25693,66983,32904,1568,7300,20160,5051,66951,22433,36117,1752,6649,72698,19887,34929,6524,11358,1552,567,12329,14010,7476,1449,245,13671,12664,12765,1537,157215,146866,10349,89131,66983,5397,0.4349,46596,41.8,36.2,137651,89692,76547,50106,16877,5.7,1024,1498,4467,5118,Connecticut,MIDDLESEX
"New Haven County, Connecticut",38.5,42.2,403625,9238,40013,57506,67422,66270,30017,52982,11096,14454,25605,17975,11047,155106,335539,142573,16027,49127,106035,21777,340782,139659,157769,9940,33414,375446,133316,161960,35893,44277,7837,3347,94088,51889,26599,7869,3276,95269,58542,41032,4577,829382,733309,96073,67845,335539,50223,0.4785,38305,39.9,35.5,705905,432459,367766,204470,131069,5.3,968,1349,31696,42911,Connecticut,NEW HAVEN
"New London County, Connecticut",40.4,44.5,126493,2920,13799,23375,20995,19958,8993,12958,5486,3380,6530,5447,2652,48222,108098,48403,8987,11727,30560,8421,112100,44235,52391,2204,13270,112510,32233,53000,9310,17967,2506,445,29824,17380,9607,1908,873,28228,18939,10704,1080,255099,229398,25701,67197,108098,12689,0.4291,36428,41.1,35.1,221413,132998,123618,71503,36595,5.7,942,1277,8058,10145,Connecticut,NEW LONDON
"Tolland County, Connecticut",36.1,38.2,69475,2729,5901,6013,8052,9140,6313,11907,3441,4144,8089,2932,814,23508,55619,28709,2088,5085,14849,4888,64617,27740,30206,1252,5419,65242,22322,30958,4382,7580,1542,135,15130,11858,5609,1848,21,11830,12024,9188,824,135541,124065,11476,91646,55619,2885,0.4206,41535,38.8,34.4,128217,76834,60041,39809,15810,5.9,1043,1413,3592,4402,Connecticut,TOLLAND
"Windham County, Connecticut",39.9,42.1,53509,2101,4943,7765,8022,7297,3057,4667,2067,2185,6549,3759,1097,20282,44571,22088,2341,5165,11219,3758,48388,18625,24432,1208,4123,50562,16047,24345,3902,6268,490,430,14860,5852,2621,323,27,12437,6506,3627,180,111707,97595,14112,65765,44571,6657,0.4233,31400,38.5,35.3,98186,59192,49828,30234,14337,5.6,813,1166,4071,5670,Connecticut,WINDHAM
"Kent County, Delaware",36.3,40.8,78112,2065,8052,12410,14138,11693,4518,7491,1745,2662,5783,4818,2737,35047,67841,30283,3307,11317,18824,4110,68394,25238,34521,1766,6869,76088,23877,34853,7234,10124,2369,556,20025,7695,2664,1068,515,19099,8538,5913,641,172411,146901,25510,54419,67841,12559,0.4356,27508,41.2,36.5,141800,80288,73086,46123,21718,6.1,826,1045,7246,8692,Delaware,KENT
"New Castle County, Delaware",37.1,39.8,256944,3085,21884,34114,42605,43319,20293,36146,8097,8552,20078,12483,6288,105757,206351,95746,10767,25011,61765,13062,220863,89377,107402,6246,17838,239173,81880,108151,18629,30513,4757,1412,61487,38348,16934,4079,1552,66899,42403,24649,3920,542628,479128,63500,69479,206351,19058,0.4646,35859,40.9,36.6,453995,276075,224481,140075,66276,6.4,995,1238,10343,13031,Delaware,NEW CASTLE
"Sussex County, Delaware",49,51.9,91912,2130,9163,10712,13505,14451,7522,14461,3517,2969,5648,4488,3346,34827,93479,47805,4149,10014,25686,5825,93461,28583,52418,3529,8931,100619,23481,53909,9635,13594,3012,425,29872,14237,5782,1065,1087,28415,12957,10449,884,225747,197515,28232,60277,93479,12294,0.4459,33445,41,36.8,192504,102071,141092,74947,18532,6.1,820,971,8665,13710,Delaware,SUSSEX
"District of Columbia, District of Columbia",33.8,34,355056,3233,14869,24452,34404,52398,30215,75845,18675,23893,46867,22895,7310,110747,287476,73009,10168,38352,131010,34937,276889,164836,89995,4253,17805,313833,178614,86734,18590,29895,8651,2363,38206,62807,48030,10337,2631,44694,66975,61825,9462,669031,560976,108055,85203,287476,41885,0.5243,55328,41.4,39.2,586358,380983,319579,121540,165936,4.1,1421,1695,20863,34300,District of Columbia,DISTRICT OF COLUMBIA
"Alachua County, Florida",30.8,32.5,121178,2430,11679,17248,24764,23472,8950,17886,4539,1632,4812,1895,1871,43623,97782,37146,3188,9154,38342,9952,110281,58211,42274,1945,7851,118472,55609,43980,6680,12203,1929,2814,16668,18820,6746,4604,1367,16459,21207,11474,3263,257170,205208,51962,51241,97782,7938,0.5167,29435,37.8,34.9,226370,130938,118966,58492,39290,5.3,851,958,4375,8013,Florida,ALACHUA
